     code  logKa      score
83   4mme   6.50   9.008614
84   3f3d   7.16   5.687281
85   3f3e   7.70   6.894598
86   2wbg   4.45   9.852099
87   2cbv   5.48   7.900265
88   2j78   6.42   7.977623
89   2j7h   7.19   7.460489
90   2cet   8.02  10.247466
91   3udh   2.85   6.058143
92   3rsx   4.41   4.660049
93   4djv   6.72   9.051382
94   2vkm   8.74  11.122265
95   4gid  10.77  11.021683
96   4jfs   5.27   7.269242
97   4j28   5.70   7.271137
98   2wvt   6.12   7.086184
99   2xii   7.20   9.057749
100  4pcs   7.85   7.040791
101  3rr4   4.55   7.360953
102  1s38   5.15   6.312148
103  1r5y   6.46   6.778138
104  3gc5   7.26   7.903811
105  3ge7   8.70   9.275059
106  4dli   5.62   8.498532
107  2zb1   6.32  10.909980
108  4f9w   6.94   9.789519
109  3e92   8.00  10.870814
110  3e93   8.85  11.822419
111  4owm   2.96   4.578744
112  3twp   3.92   4.479712
113  3r88   4.82   5.421636
114  4gkm   5.17   5.952558
115  3qqs   5.82   6.037689
116  3gv9   2.12   5.364763
117  3gr2   2.52   5.518458
118  4kz6   3.10   5.338675
119  4jxs   4.74   6.057619
120  2r9w   5.10   7.897976
121  2hb1   3.80   6.469655
122  1bzc   4.92   4.349368
123  2qbr   6.33   7.814065
124  2qbq   7.44   7.956716
125  2qbp   8.40   8.109308
126  1q8t   4.76   8.084636
127  1ydr   5.52   8.543165
128  1q8u   5.96   8.443697
129  1ydt   7.32  10.547948
130  3ag9   8.05  10.368373
131  3fcq   2.77   5.705341
132  1z9g   5.64   4.946925
133  1qf1   7.32   6.975763
134  5tmn   8.04   7.727526
135  4tmn  10.17   9.416168
136  4ddk   2.29   5.967446
137  4ddh   3.32   6.464189
138  3ivg   4.30   8.952079
139  3coz   5.57   8.131860
140  3coy   6.02   8.524332
141  3pxf   4.43   6.291037
142  4eor   6.30   9.520181
143  2xnb   6.83   9.713741
144  1pxn   7.15   8.796981
145  2fvd   8.52  10.573042
146  4k77   6.63   8.188822
147  4e5w   7.66  10.134339
148  4ivb   8.72   9.486976
149  4ivd   9.52   9.791811
150  4ivc  10.00   9.874513
151  4f09   6.70   8.199047
152  4gfm   7.22   7.598422
153  4hge   7.92   9.996595
154  4e6q   8.36   9.652706
155  4jia   9.22  10.103394
156  2brb   4.86   8.535196
157  2br1   5.14   9.234844
158  3jvr   5.72   6.298749
159  3jvs   6.54   8.513662
160  1nvq   8.25  11.539376
161  3acw   4.76   8.550730
162  4ea2   6.44   8.257199
163  2zcr   6.87   8.396795
164  2zy1   7.40   7.811846
165  2zcq   8.82   6.900733
166  1bcu   3.28   5.167406
167  3bv9   5.36   9.786255
168  1oyt   7.24   9.838115
169  2zda   8.40   9.575740
170  3utu  10.92  11.281582
171  3u9q   4.38   5.969467
172  2yfe   6.63   9.226743
173  3fur   8.00   9.532384
174  3b1m   8.48  10.519101
175  2p4y   9.00  10.201902
176  3uo4   6.52  10.160633
177  3up2   7.40   9.416245
178  3e5a   8.23  10.344282
179  2wtv   8.74  11.037991
180  3myg  10.70   8.960383
181  3kgp   2.57   4.654883
182  1c5z   4.01   5.114487
183  1o5b   5.77   5.112071
184  1owh   7.40   6.621824
185  1sqa   9.21   8.225480
186  4jsz   2.30   4.488672
187  3kwa   4.08   5.448522
188  2weg   6.50   5.817942
189  3ryj   7.80   6.455397
190  3dd0   9.00   5.359774
191  2xdl   3.10   6.693932
192  3b27   5.16   6.051734
193  1yc1   6.17   9.085783
194  3rlr   7.52   8.028202
195  2yki   9.46  11.286585
196  1z95   7.12   9.611480
197  3b68   8.40  10.290336
198  3b5r   8.77   9.925874
199  3b65   9.27  11.657049
200  3g0w   9.52   9.675212
201  4u4s   2.92   5.429318
202  1p1q   4.89   7.175468
203  1syi   5.44   7.864173
204  1p1n   6.80   7.461353
205  2al5   8.40   7.646425
206  3g2z   2.36   5.234412
207  3g31   2.89   4.089498
208  4de2   4.12   6.960380
209  4de3   5.52   6.944382
210  4de1   5.96   6.924285
211  1vso   4.72   7.035287
212  4dld   5.82   8.050940
213  3gbb   6.90   7.922657
214  3fv2   8.11   8.369970
215  3fv1   9.30   8.895683
216  4mgd   4.69   9.069193
217  2qe4   7.96   9.822347
218  1qkt   9.04   8.961085
219  2pog   9.54   9.595197
220  2p15  10.30   9.278044
221  2y5h   5.79   8.001822
222  1lpg   7.09  10.456162
223  2xbv   8.43  11.197737
224  1z6e   9.72  11.093410
225  1mq6  11.15   9.183331
226  1nc3   5.00   7.798011
227  1nc1   6.12   8.656236
228  1y6r  10.11   8.742861
229  4f2w  11.30   8.654111
230  4f3c  11.82   9.808672
231  1uto   2.27   3.984834
232  4abg   3.57   4.990015
233  3gy4   5.10   5.326998
234  1k1i   6.58   7.937004
235  1o3f   7.96   7.468707
236  2yge   5.06   9.694583
237  2fxs   6.06   7.754685
238  2iwx   6.68   8.179823
239  2wer   7.05   8.263746
240  2vw5   8.52   9.827763
241  4kzq   6.10   8.829416
242  4kzu   6.50   8.843533
243  4j21   7.41   9.167707
244  4j3l   7.80  10.286205
245  3kr8   8.10   8.277991
246  2ymd   3.16   7.404423
247  2wnc   6.32   7.676820
248  2xys   7.42   8.574468
249  2wn9   8.52   7.823533
250  2x00  11.33   9.362654
251  3ozt   4.13   9.404905
252  3ozs   5.33   9.020577
253  3oe5   6.88   9.338706
254  3oe4   7.47   9.329294
255  3nw9   9.00  11.213531
256  3ao4   2.07   6.622645
257  3zt2   2.84   7.381275
258  3zsx   3.28   8.159826
259  4cig   3.67   8.431623
260  3zso   5.12   9.286468
261  3n7a   3.70   6.386711
262  4ciw   4.82   7.137924
263  3n86   5.64   8.673915
264  3n76   6.85   8.670801
265  2xb8   7.59   8.482197
266  4bkt   3.62   7.229747
267  4w9c   4.65   8.529971
268  4w9l   5.02   9.728872
269  4w9i   5.96   8.499758
270  4w9h   6.73   9.057520
271  3nq9   4.03   4.540302
272  3ueu   5.24   6.575777
273  3uev   5.89   6.599975
274  3uew   6.31   7.059898
275  3uex   6.92   7.665404
276  3lka   2.82   5.511516
277  3ehy   5.85   6.158214
278  3tsk   7.17   9.211736
279  3nx7   8.10   6.700576
280  4gr0   9.55  11.391433
281  3dxg   2.40   6.107992
282  3d6q   3.76   6.401475
283  1w4o   5.22   5.803023
284  1o0h   5.92   4.755608
285  1u1b   7.80   7.043820

Summary of the scoring power: ===================================
The regression equation: logKa = 0.80 + -0.04 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.677
Standard deviation in fitting (SD) = 1.60
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("./Results/CASF2016_Scoring_Energy02RMSD2.0//ScoringPower_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("./Results/CASF2016_Scoring_Energy02RMSD2.0//ScoringPower-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
