     code     1     2     3     4     5     6
82   3f3c  3g0w  2al5  3fv1  4rfm  3kr8  3u8n
83   4mme  2p4y  2p15  1e66  2cet  5dwr  4gr0
84   3f3d  3f3e  3uex  2al5  3fv1  2vvn  4f3c
85   3f3e  3f3e  3fv1  2cet  4rfm  2al5  3uex
86   2wbg  2p15  2qbp  2cet  2xb8  2fvd  3myg
87   2cbv  2xb8  2vvn  2qbp  4f3c  2cet  4tmn
88   2j78  2qbp  4f3c  2p15  3ag9  3fv1  4rfm
89   2j7h  3fv1  2cet  2vvn  4f3c  2qbp  3uri
90   2cet  4jia  2p15  3myg  3g0w  2qbp  5dwr
91   3udh  3u8n  4rfm  2vvn  4twp  2p15  3dd0
92   3rsx  3myg  3g0w  4rfm  2yki  1e66  3ebp
93   4djv  3arp  4rfm  4jia  3ebp  2yki  2vw5
94   2vkm  3o9i  3gnw  2r9w  5dwr  3ag9  4twp
95   4gid  3gnw  4ivc  3uex  4gid  3p5o  3myg
96   4jfs  3g0w  2xb8  2p15  3qqs  4twp  4de1
97   4j28  2p15  3myg  4twp  4jia  3kr8  3g0w
98   2wvt  4de1  2xb8  2qbp  4f3c  3fv1  2p4y
99   2xii  4jia  2yki  3o9i  3ag9  5dwr  2p4y
100  4pcs  4tmn  3e93  3kr8  2p15  3g0w  4twp
101  3rr4  4rfm  3myg  4jia  3uex  4twp  5c2h
102  1s38  1e66  5dwr  2yki  3myg  3utu  4rfm
103  1r5y  4rfm  3ge7  5dwr  4jia  1e66  2p15
104  3gc5  1nvq  3ebp  4jia  5dwr  3myg  1e66
105  3ge7  3ge7  4jia  4twp  4ivc  3myg  3ebp
106  4dli  1e66  4jia  2p4y  3ag9  3ebp  1nvq
107  2zb1  4ivc  3myg  4jia  2p15  2p4y  4rfm
108  4f9w  4jia  3p5o  3uex  3ebp  2yki  2p4y
109  3e92  2p4y  2yki  3p5o  2p15  4jia  3e93
110  3e93  4jia  4rfm  3e93  3myg  3o9i  5dwr
111  4owm  4twp  4rfm  3g0w  1e66  2p15  5dwr
112  3twp  4twp  4ivc  3g0w  4jia  2p15  3uex
113  3r88  4jia  3p5o  4rfm  1e66  5dwr  1nvq
114  4gkm  3g0w  5dwr  2p15  2yki  4rfm  1nvq
115  3qqs  3g0w  5dwr  1e66  2p15  3myg  3p5o
116  3gv9  3myg  5dwr  4rfm  3g0w  4jia  3u8n
117  3gr2  3g0w  3e93  5dwr  2qbp  2yki  4rfm
118  4kz6  4f3c  2p15  2vvn  4jia  2zcq  2fvd
119  4jxs  4twp  3myg  5dwr  3g0w  2p15  2fvd
120  2r9w  5dwr  2p15  2yki  2p4y  3o9i  3arp
121  2hb1  5dwr  2xb8  2qbp  3fv1  4rfm  3ag9
122  1bzc  2p4y  3e93  2qbp  5dwr  3ebp  4jia
123  2qbr  2yki  3uex  3myg  3o9i  2qbp  2p4y
124  2qbq  2qbp  2x00  4de1  3ag9  3o9i  2yki
125  2qbp  2p4y  3p5o  4twp  2yki  4ivc  3myg
126  1q8t  4jia  3g0w  2yki  3myg  3ejr  3kr8
127  1ydr  5dwr  3myg  3g0w  2yki  3ebp  4twp
128  1q8u  5dwr  1nvq  3o9i  4jia  4ivc  5c2h
129  1ydt  5dwr  2yki  1e66  3myg  2p4y  3arp
130  3ag9  3o9i  2r9w  3gnw  3ge7  2vw5  4jia
131  3fcq  5dwr  3myg  2fvd  3ag9  2p15  4jia
132  1z9g  2yki  3g0w  2cet  5dwr  3uex  2p15
133  1qf1  2p4y  2p15  3e93  3o9i  2yki  3uex
134  5tmn  4jia  3zso  2yki  3p5o  2zcq  2qbp
135  4tmn  3myg  3coy  2yki  3ag9  3gnw  5dwr
136  4ddk  3g0w  4twp  5dwr  4jia  4rfm  3fv1
137  4ddh  4jia  4rfm  3ag9  2fvd  2yki  3myg
138  3ivg  5dwr  2p15  2yki  2p4y  3myg  3nw9
139  3coz  4f3c  4ivc  2p15  5dwr  3nw9  2yki
140  3coy  4ivc  1o3f  3myg  3ejr  2p4y  4jia
141  3pxf  2yki  5dwr  3myg  2zcq  3ag9  2p4y
142  4eor  2p4y  2yki  5dwr  3ebp  3myg  2qbp
143  2xnb  3myg  4gr0  2yki  1nvq  4rfm  4ivc
144  1pxn  3myg  3ebp  2yki  2fvd  4jia  4rfm
145  2fvd  3uex  3arp  4ty7  3qqs  2qbp  4ivc
146  4k77  4twp  3ge7  2p15  2yki  3kr8  3g0w
147  4e5w  3ag9  4jia  5dwr  1nvq  3myg  2fvd
148  4ivb  4ivc  4jia  2zcq  3myg  3g0w  5dwr
149  4ivd  4ivc  4jia  2fvd  3ebp  3myg  3arp
150  4ivc  4jia  4ivc  5dwr  3ebp  3ejr  2yki
151  4f09  2fvd  4ivc  5dwr  3ejr  3g0w  3ebp
152  4gfm  5dwr  3g0w  2yki  3myg  4jia  2p15
153  4hge  4ivc  5dwr  4jia  2yki  1e66  3ebp
154  4e6q  5dwr  4jia  4ivc  3myg  1nvq  3arp
155  4jia  5dwr  4jia  5c2h  3arp  3myg  3ebp
156  2brb  2fvd  3ebp  1nvq  3arp  4jia  4ivc
157  2br1  3ag9  4jia  2fvd  3o9i  3myg  5dwr
158  3jvr  3uex  4w9h  4jia  3myg  4rfm  3zso
159  3jvs  4rfm  1nvq  5dwr  2p4y  3myg  4jia
160  1nvq  4jia  1nvq  3ag9  4w9h  3gnw  2r9w
161  3acw  3myg  2zcq  3o9i  3arp  5dwr  2yki
162  4ea2  3coy  2p4y  3qqs  3uex  4f3c  3myg
163  2zcr  4jia  2p15  2yki  2p4y  2r9w  2fvd
164  2zy1  4jia  3myg  2yki  2zcq  4twp  2p4y
165  2zcq  4jia  3myg  3e93  4twp  2p15  2yki
166  1bcu  4rfm  1e66  3myg  4jia  3g0w  5dwr
167  3bv9  3gnw  4gid  3dd0  2r9w  2qbp  4twp
168  1oyt  4de1  2p15  3ejr  4jia  3gnw  4w9h
169  2zda  4jia  3ag9  2fvd  4ivc  3dd0  3uex
170  3utu  3o9i  4gid  2yki  2fvd  4jia  4rfm
171  3u9q  2xb8  2yki  3uex  3fv1  4rfm  2qbp
172  2yfe  2yki  2fvd  2p4y  3zso  4jia  3uex
173  3fur  5dwr  4rfm  2yki  4jia  4twp  3myg
174  3b1m  2p4y  2yki  4jia  2zcq  5dwr  4ivc
175  2p4y  2p4y  2yki  2vw5  3o9i  3myg  3p5o
176  3uo4  1nvq  4jia  3p5o  2yki  4rfm  3arp
177  3up2  1nvq  4jia  2qbp  2p4y  5dwr  4twp
178  3e5a  2p4y  3dd0  3myg  5dwr  2qbp  3gnw
179  2wtv  2qbp  4rfm  2yki  3myg  2vvn  1nvq
180  3myg  4rfm  3p5o  4jia  5dwr  3o9i  3myg
181  3kgp  4rfm  3g0w  2yki  4twp  3myg  3fv1
182  1c5z  4twp  2yki  4rfm  4jia  4f3c  1e66
183  1o5b  4ivc  4rfm  3myg  2yki  3g0w  1e66
184  1owh  4jia  2zcq  1nvq  4rfm  3ag9  3o9i
185  1sqa  2p4y  3myg  5dwr  4rfm  4jia  2yki
186  4jsz  2yki  4rfm  3ag9  3g0w  1e66  2al5
187  3kwa  4f3c  2yki  4rfm  3g0w  4gid  3uex
188  2weg  4rfm  3g0w  1e66  3myg  4twp  3e93
189  3ryj  4twp  3kr8  4f3c  3g0w  2yki  3uex
190  3dd0  4rfm  3p5o  2yki  4twp  3myg  1nvq
191  2xdl  2yki  4ivc  5dwr  1nvq  3myg  2p15
192  3b27  4rfm  3u8n  1e66  4jia  4twp  3g0w
193  1yc1  4ivc  3p5o  5dwr  1nvq  4jia  3myg
194  3rlr  5dwr  4ivc  1e66  2yki  2p4y  3arp
195  2yki  3ag9  2yki  5dwr  4ivc  3o9i  3arp
196  1z95  4jia  3myg  5dwr  3ge7  4agq  2yki
197  3b68  2p4y  3arp  3kr8  2yki  2qbp  3p5o
198  3b5r  2p15  3myg  3o9i  5dwr  3uex  2qbp
199  3b65  4rfm  3myg  5dwr  2p15  2yki  2xb8
200  3g0w  3g0w  3myg  3arp  3ebp  2yki  2p15
201  4u4s  4jia  2yki  1e66  3myg  3g0w  5dwr
202  1p1q  3fv1  2al5  3ejr  3g0w  4gid  4jia
203  1syi  2p15  2qbp  2yki  4rfm  3p5o  3g0w
204  1p1n  3dd0  3ag9  3fv1  3e93  2p15  4gr0
205  2al5  2al5  3fv1  4rfm  3g0w  2p4y  4ivc
206  3g2z  4twp  3uex  2yki  2qbp  1nvq  3fv1
207  3g31  2p15  3coy  3zso  4de1  3fv1  4f3c
208  4de2  5dwr  3myg  4jia  2p4y  2qbp  3ag9
209  4de3  4jia  5dwr  2yki  4rfm  3myg  3g0w
210  4de1  4jia  3myg  1nvq  5dwr  3ag9  4rfm
211  1vso  2qbp  2p4y  1nvq  2p15  3qqs  2zcq
212  4dld  2p15  5dwr  1u1b  2yki  3ebp  3coy
213  3gbb  3fv1  3coy  3o9i  2p15  4ivc  3zso
214  3fv2  3gnw  3fv1  3coy  2cet  3o9i  2p15
215  3fv1  2p15  3fv1  3o9i  2p4y  2zcq  2vw5
216  4mgd  2p15  2fvd  2zcq  3arp  1nvq  3g0w
217  2qe4  3o9i  2p4y  2p15  3coy  5dwr  2zcq
218  1qkt  2p15  3g0w  5dwr  2xb8  2fvd  3o9i
219  2pog  2p15  3o9i  4jia  5dwr  2zcq  3myg
220  2p15  2p15  3o9i  3ag9  4jia  4de1  3arp
221  2y5h  2qbp  5dwr  3gnw  3p5o  3coy  4twp
222  1lpg  4twp  3o9i  2yki  5dwr  3arp  3p5o
223  2xbv  4rfm  2p4y  3arp  3p5o  3qqs  3dd0
224  1z6e  4ivc  3o9i  3myg  5dwr  3ebp  3qqs
225  1mq6  3myg  1nvq  2yki  5dwr  4jia  3ge7
226  1nc3  4f3c  4ivc  1nvq  3ag9  2p15  2cet
227  1nc1  3myg  3g0w  4f3c  4ivc  2p4y  2p15
228  1y6r  4f3c  5dwr  4ivc  2p15  3g0w  4jia
229  4f2w  3myg  4jia  2p15  1nvq  5dwr  4ivc
230  4f3c  2p15  2r9w  5dwr  3myg  4ivc  4twp
231  1uto  2al5  4rfm  4twp  3uex  3fv1  3u8n
232  4abg  2yki  2qbp  3myg  4twp  4jia  4ivc
233  3gy4  4rfm  2yki  4jia  1e66  3myg  4twp
234  1k1i  2yki  2p4y  4jia  1o3f  2qbp  5dwr
235  1o3f  3myg  5c2h  5dwr  4rfm  4jia  3arp
236  2yge  2vvn  3gnw  2vw5  4gid  4de1  4jia
237  2fxs  4rfm  3o9i  4jia  2p4y  2zcq  2p15
238  2iwx  2p15  2yki  2zcq  5dwr  2vw5  3gnw
239  2wer  2yki  4gid  2vw5  5dwr  2zcq  2p15
240  2vw5  3p5o  2vw5  4f3c  3gnw  3u8n  3zso
241  4kzq  3g0w  2p15  3myg  4jia  3kr8  2qbp
242  4kzu  3g0w  4jia  3myg  5dwr  3uex  4rfm
243  4j21  4jia  2yki  3g0w  2fvd  5dwr  2p15
244  4j3l  2yki  3myg  5dwr  4rfm  2p4y  4jia
245  3kr8  3kr8  3myg  2p4y  2qbp  2yki  2xb8
246  2ymd  4rfm  4jia  5dwr  3u8n  1e66  3fv1
247  2wnc  3myg  3o9i  4jia  2zcq  5dwr  2yki
248  2xys  3o9i  2r9w  4ivc  3gnw  2vw5  3zso
249  2wn9  2p4y  2yki  4jia  4ivc  3myg  3ag9
250  2x00  2cet  2qbp  3gnw  3ag9  3ge7  4de1
251  3ozt  2p4y  3nw9  4jia  2fvd  3zso  2qbp
252  3ozs  3nw9  4rfm  2yki  4ivc  3ge7  1e66
253  3oe5  4jia  4twp  4ivc  3ge7  4rfm  1nvq
254  3oe4  4jia  5dwr  2yki  3coy  2qbp  3ag9
255  3nw9  4jia  3myg  3dd0  4twp  3uex  3ge7
256  3ao4  4jia  3myg  4rfm  2yki  5dwr  4twp
257  3zt2  3myg  5dwr  3g0w  4jia  2fvd  2yki
258  3zsx  3o9i  2p4y  5dwr  4jia  2yki  3p5o
259  4cig  2p4y  3p5o  3myg  3arp  3ag9  4jia
260  3zso  3qqs  4ivc  3uex  1u1b  4jia  2r9w
261  3n7a  3fv1  2xb8  4pcs  2p15  4f3c  2qbp
262  4ciw  2xb8  2qbp  2cet  3g0w  4f3c  3o9i
263  3n86  4twp  4jia  2cet  5dwr  2zcq  3uex
264  3n76  3qqs  3uex  2qbp  4jia  3zso  2fvd
265  2xb8  2xb8  4jia  2p15  2p4y  5dwr  2r9w
266  4bkt  4jia  3g0w  4gid  2p15  4f3c  2p4y
267  4w9c  4jia  2yki  4twp  1u1b  2p4y  3myg
268  4w9l  4jia  4w9h  1nvq  2yki  4gid  3myg
269  4w9i  3ag9  3o9i  4ivc  2yki  4jia  2p15
270  4w9h  2yki  3ag9  3gnw  2r9w  4twp  3dd0
271  3nq9  3uex  2yki  4twp  2qbp  3fv1  2xb8
272  3ueu  3uex  4rfm  3g0w  2yki  2qbp  4f3c
273  3uev  2yki  2qbp  4rfm  3uex  2xb8  3coy
274  3uew  3coy  2qbp  2fvd  3e93  2yki  5dwr
275  3uex  2r9w  3kr8  2qbp  5dwr  2p15  2fvd
276  3lka  4rfm  4twp  3g0w  2yki  1e66  2p15
277  3ehy  2qbp  2p15  4rfm  5dwr  3g0w  2yki
278  3tsk  2fvd  4twp  3o9i  4rfm  3myg  2qbp
279  3nx7  2yki  2p4y  2p15  2xb8  3g0w  3kr8
280  4gr0  4jia  3ag9  3myg  5dwr  4rfm  3coy
281  3dxg  2p15  4pcs  4jia  3fv1  3zso  2cet
282  3d6q  3p5o  2p15  3dd0  2yki  4f3c  2fvd
283  1w4o  4jia  2p15  3coy  2cet  3g0w  3qqs
284  1o0h  4jia  4ivc  2zcq  3myg  3coy  5dwr
285  1u1b  4jia  2qbp  1sqa  4ivc  3ejr  5dwr

Summary of the reverse screening power: =========================================================
The best target is found among top 1% candidates for 27 ligand(s); success rate = 9.5%
The best target is found among top 5% candidates for 62 ligand(s); success rate = 21.8%
The best target is found among top 10% candidates for 88 ligand(s); success rate = 30.9%
=================================================================================================

Template command for running the bootstrap in R program=========================================

rm(list=ls());
require(boot);
data_all<-read.table("./Results/CASF2016_Docking_Energy30RMSD2.5/ReverseScreeningPower_Top1.results",header=TRUE);
data<-as.matrix(data_all[,2]);
mymean<-function(x,indices) sum(x[indices])/285;
data.boot<-boot(aa,mymean,R=10000,stype="i",sim="ordinary");
sink("./Results/CASF2016_Docking_Energy30RMSD2.5/ReverseScreeningPower_Top1-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

===============================================================================================

