     code     1     2     3     4     5     6
130  3ag9  2vvn  3f3e  3g0w  2al5  3fv1  3coy
131  3fcq  2vvn  3f3e  3u8n  3fv1  3kr8  2cet
132  1z9g  2vvn  2cet  3u8n  2al5  1e66  3f3e
133  1qf1  2vvn  3f3e  2al5  1e66  3e93  3g0w
134  5tmn  2vvn  3f3e  2al5  3fv1  1e66  3arp
135  4tmn  2vvn  3f3e  3fv1  2al5  3coy  1e66
136  4ddk  2vvn  3f3e  2cet  3fv1  3kr8  3ejr
137  4ddh  2vvn  3f3e  3kr8  2cet  3fv1  4f3c
138  3ivg  2vvn  3f3e  2al5  1e66  3fv1  4f3c
139  3coz  2vvn  3f3e  1e66  2zcq  3ejr  2cet
140  3coy  2vvn  3f3e  1e66  2zcq  3ejr  2cet
141  3pxf  2vvn  3f3e  4ty7  3g0w  1e66  3u8n
142  4eor  2vvn  3f3e  1e66  2p15  2cet  3uex
143  2xnb  2vvn  3f3e  1sqa  3fv1  2al5  4gr0
144  1pxn  2vvn  3f3e  3uex  1e66  4f3c  2yki
145  2fvd  2vvn  3f3e  3kr8  1e66  2cet  3fv1
146  4k77  2vvn  3u8n  1e66  2cet  3f3e  3uex
147  4e5w  2vvn  3f3e  2al5  2cet  1e66  3fv1
148  4ivb  2vvn  3f3e  3g0w  1e66  3kr8  2p15
149  4ivd  2vvn  3f3e  3kr8  1e66  4ivc  2p15
150  4ivc  2vvn  3f3e  3kr8  1e66  3g0w  4ivc
151  4f09  2vvn  3f3e  1e66  3g0w  3kr8  2p15
152  4gfm  2vvn  3f3e  3u8n  1e66  3ejr  3kr8
153  4hge  2vvn  3f3e  1e66  3g0w  3fv1  4jia
154  4e6q  2vvn  3f3e  2al5  1e66  2p15  3g0w
155  4jia  2vvn  3f3e  2al5  3g0w  3fv1  1e66
156  2brb  2vvn  3f3e  4f3c  1e66  2p15  3g0w
157  2br1  2vvn  3f3e  2al5  1e66  3g0w  2cet
158  3jvr  2vvn  2al5  3kr8  3uex  3f3e  2yki
159  3jvs  2vvn  3fv1  2p4y  3f3e  2p15  1e66
160  1nvq  2vvn  3f3e  2al5  2xb8  3kr8  1e66
161  3acw  2vvn  3f3e  3g0w  2al5  1e66  3fv1
162  4ea2  2vvn  3f3e  2al5  1e66  2p15  2p4y
163  2zcr  2vvn  3f3e  3fv1  3zso  3kr8  3ejr
164  2zy1  2vvn  3f3e  1e66  3kr8  3fv1  2cet
165  2zcq  2vvn  3f3e  1e66  3fv1  3ejr  2cet
166  1bcu  2vvn  3coy  1e66  3uex  3g0w  3u8n
167  3bv9  2vvn  3f3e  2al5  3g0w  2p15  3fv1
168  1oyt  2vvn  3f3e  2al5  3ejr  2p15  1e66
169  2zda  2vvn  3f3e  2al5  1e66  2p15  3g0w
170  3utu  2vvn  3f3e  2al5  3g0w  3fv1  3e93
171  3u9q  2vvn  3f3e  3u8n  1sqa  2cet  3fv1
172  2yfe  2vvn  3f3e  1e66  2cet  3fv1  2al5
173  3fur  2vvn  3f3e  4rfm  1nvq  3g0w  3uex
174  3b1m  2vvn  3f3e  2al5  3fv1  3g0w  1e66
175  2p4y  2vvn  3f3e  2al5  3fv1  3kr8  2p4y
176  3uo4  2vvn  3f3e  2al5  1e66  2p15  4f3c
177  3up2  2vvn  3uex  1e66  3f3e  3kr8  5dwr
178  3e5a  2vvn  3f3e  2al5  3fv1  3g0w  2xb8
179  2wtv  2vvn  2al5  3f3e  3fv1  1e66  3g0w
180  3myg  2vvn  3f3e  3g0w  2al5  2cet  3fv1
181  3kgp  2vvn  3f3e  3kr8  3fv1  3u8n  1e66
182  1c5z  2vvn  3u8n  3uex  1e66  3f3e  3ejr
183  1o5b  2vvn  3uex  4twp  3f3e  2al5  4pcs
184  1owh  2vvn  3f3e  3fv1  2p15  4rfm  2al5
185  1sqa  2vvn  3f3e  3myg  2al5  3uex  4rfm
186  4jsz  2vvn  2cet  3f3e  3fv1  3ejr  2al5
187  3kwa  2vvn  1e66  2cet  3kr8  3ejr  3f3e
188  2weg  2vvn  3f3e  3fv1  3u8n  2al5  3ejr
189  3ryj  2vvn  3f3e  3fv1  2al5  3kr8  5dwr
190  3dd0  2vvn  3f3e  3u8n  3fv1  1e66  3ejr
191  2xdl  2vvn  3f3e  3kr8  3u8n  3fv1  1e66
192  3b27  2vvn  3uex  4rfm  3kr8  3g0w  3u8n
193  1yc1  2vvn  3f3e  1e66  4f3c  3u8n  3ejr
194  3rlr  2vvn  1e66  3g0w  2p15  4f3c  3u8n
195  2yki  2vvn  3f3e  2al5  3g0w  3fv1  1e66
196  1z95  2vvn  3f3e  4f3c  2al5  3fv1  3u8n
197  3b68  2vvn  4rfm  3f3e  2vw5  3u8n  3coy
198  3b5r  2vvn  3f3e  4f3c  5dwr  3g0w  3fv1
199  3b65  2vvn  3g0w  3fv1  1e66  2p15  3kr8
200  3g0w  2vvn  3f3e  4twp  2p15  3fv1  3g0w
201  4u4s  2vvn  2cet  3f3e  3kr8  1e66  3ejr
202  1p1q  2vvn  3ejr  2cet  3f3e  3fv1  3u8n
203  1syi  2vvn  3f3e  2cet  3fv1  2al5  4f3c
204  1p1n  2vvn  3f3e  2cet  3ejr  3u8n  3fv1
205  2al5  2vvn  3f3e  2cet  4pcs  3u8n  3fv1
206  3g2z  2vvn  4twp  2yki  3u8n  3f3e  3kr8
207  3g31  2vvn  3f3e  3fv1  3u8n  2cet  3ejr
208  4de2  2vvn  3f3e  2al5  3dd0  3g0w  3kr8
209  4de3  2vvn  3f3e  4f3c  3uex  3fv1  3kr8
210  4de1  2vvn  3f3e  2al5  3fv1  3uex  3gnw
211  1vso  2vvn  3f3e  1e66  3kr8  3ejr  3arp
212  4dld  2vvn  3f3e  1e66  2cet  3u8n  3fv1
213  3gbb  2vvn  3f3e  3fv1  2al5  3ejr  2cet
214  3fv2  2vvn  3f3e  3ejr  3fv1  2al5  4f3c
215  3fv1  2vvn  3f3e  3fv1  3kr8  1e66  3ejr
216  4mgd  2vvn  4twp  3f3e  2xb8  2al5  5dwr
217  2qe4  2vvn  3f3e  1e66  3ejr  3fv1  3g0w
218  1qkt  2vvn  3g0w  1e66  4f3c  2p15  3f3e
219  2pog  2vvn  3f3e  4w9h  1e66  3kr8  4f3c
220  2p15  2vvn  3f3e  1e66  2al5  2p15  4twp
221  2y5h  2vvn  3f3e  2al5  2cet  1e66  3fv1
222  1lpg  2vvn  3f3e  3fv1  3g0w  2al5  2xb8
223  2xbv  2vvn  3f3e  2al5  3fv1  3g0w  2zcq
224  1z6e  2vvn  3f3e  4f3c  3fv1  2al5  3g0w
225  1mq6  2vvn  3f3e  2al5  3g0w  2yki  3fv1
226  1nc3  2vvn  2fvd  1e66  3u8n  2cet  4f3c
227  1nc1  2vvn  1e66  4f3c  3g0w  3kr8  3fv1
228  1y6r  2vvn  3f3e  3u8n  2cet  1e66  3arp
229  4f2w  2vvn  3f3e  3g0w  3kr8  3uex  2p15
230  4f3c  2vvn  3f3e  2p15  1e66  3g0w  3u8n
231  1uto  2vvn  3f3e  3ejr  3u8n  2cet  3kr8
232  4abg  2vvn  3f3e  3uex  1e66  3kr8  3u8n
233  3gy4  2vvn  3uex  3f3e  1e66  3u8n  2cet
234  1k1i  2vvn  3f3e  3fv1  2al5  4twp  1e66
235  1o3f  2vvn  3fv1  3f3e  2al5  1e66  3u8n
236  2yge  2vvn  3f3e  2al5  3kr8  3u8n  4twp
237  2fxs  3utu  3coy  3g0w  1nvq  3nw9  4jia
238  2iwx  2vvn  3u8n  3f3e  1e66  2al5  4f3c
239  2wer  2vvn  3f3e  1e66  2al5  3fv1  3kr8
240  2vw5  2vvn  3f3e  2al5  3kr8  3fv1  3gnw
241  4kzq  2vvn  1e66  3u8n  3f3e  3kr8  3nw9
242  4kzu  2vvn  3kr8  1e66  3g0w  2al5  3f3e
243  4j21  2vvn  3f3e  1e66  3g0w  3uex  3kr8
244  4j3l  2vvn  3f3e  4f3c  2yki  2cet  3u8n
245  3kr8  2vvn  3f3e  2al5  3fv1  3u8n  3kr8
246  2ymd  2vvn  3f3e  3kr8  3u8n  2cet  2al5
247  2wnc  2vvn  3fv1  3kr8  3f3e  4f3c  1e66
248  2xys  2vvn  3f3e  4w9h  2yki  2al5  1e66
249  2wn9  2vvn  3f3e  1e66  3u8n  3fv1  3kr8
250  2x00  2vvn  3f3e  2al5  3fv1  3g0w  2xb8
251  3ozt  2vvn  3f3e  1e66  3kr8  3u8n  2cet
252  3ozs  2vvn  3f3e  3fv1  4tmn  3ebp  2vw5
253  3oe5  2vvn  3f3e  1e66  2cet  3fv1  2al5
254  3oe4  2vvn  3f3e  1e66  2cet  3u8n  2zcq
255  3nw9  2vvn  3fv1  3f3e  2al5  1e66  3o9i
256  3ao4  2vvn  1e66  3u8n  3kr8  3f3e  3uex
257  3zt2  2vvn  3f3e  2cet  1e66  2al5  3fv1
258  3zsx  2vvn  3f3e  3fv1  2al5  3ejr  2cet
259  4cig  2vvn  3f3e  2al5  4twp  3g0w  3fv1
260  3zso  2vvn  3f3e  2al5  3fv1  2xb8  3g0w
261  3n7a  2vvn  3f3e  3ejr  2cet  1e66  3fv1
262  4ciw  2vvn  3f3e  3ejr  2cet  3fv1  2al5
263  3n86  2vvn  3f3e  2cet  3fv1  3u8n  3ejr
264  3n76  2vvn  3f3e  2cet  3fv1  1e66  3u8n
265  2xb8  2vvn  3f3e  2cet  2al5  3fv1  3ejr
266  4bkt  2vvn  3u8n  2cet  3kr8  1e66  3fv1
267  4w9c  2vvn  3f3e  1e66  2cet  3kr8  2yki
268  4w9l  2vvn  2al5  3f3e  3fv1  3g0w  4f3c
269  4w9i  2vvn  3f3e  1e66  2cet  3e93  2xb8
270  4w9h  2vvn  3f3e  2al5  1e66  3fv1  2cet
271  3nq9  2vvn  3f3e  2cet  3ejr  3kr8  4pcs
272  3ueu  2vvn  3f3e  1e66  2cet  3kr8  3u8n
273  3uev  2vvn  2cet  3f3e  3fv1  1e66  3kr8
274  3uew  2vvn  4agq  3f3e  2cet  1e66  2p15
275  3uex  2vvn  3f3e  1e66  3u8n  3g0w  2cet
276  3lka  2vvn  3fv1  2x00  3kr8  2cet  3f3e
277  3ehy  2vvn  1sqa  3fv1  2cet  3f3e  3ejr
278  3tsk  2vvn  3f3e  3g0w  3fv1  2al5  1e66
279  3nx7  2vvn  3u8n  3f3e  4f3c  3ejr  2cet
280  4gr0  2vvn  3f3e  3g0w  2al5  3fv1  1e66
281  3dxg  2vvn  3f3e  2al5  3fv1  3u8n  3kr8
282  3d6q  2vvn  3f3e  1e66  3u8n  2cet  3ejr
283  1w4o  2vvn  3f3e  3ejr  2al5  4f3c  3kr8
284  1o0h  2vvn  2xb8  3ejr  1e66  2cet  3fv1
285  1u1b  2vvn  3f3e  2al5  3fv1  3g0w  1e66

Summary of the reverse screening power: =========================================================
The best target is found among top 1% candidates for  5 ligand(s); success rate = 1.8%
The best target is found among top 5% candidates for 19 ligand(s); success rate = 6.7%
The best target is found among top 10% candidates for 48 ligand(s); success rate = 16.8%
=================================================================================================

Template command for running the bootstrap in R program=========================================

rm(list=ls());
require(boot);
data_all<-read.table("./Results/CASF2016_Scoring_Energy02RMSD2.0//ReverseScreeningPower_Top1.results",header=TRUE);
data<-as.matrix(data_all[,2]);
mymean<-function(x,indices) sum(x[indices])/285;
data.boot<-boot(aa,mymean,R=10000,stype="i",sim="ordinary");
sink("./Results/CASF2016_Scoring_Energy02RMSD2.0//ReverseScreeningPower_Top1-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

===============================================================================================

